
[00:00:00.000 --> 00:00:29.980]   The End of the Day
[01:07:32.420 --> 01:07:36.980]   he says he's going to be preparing a banquet table for me. Can you imagine that?
[01:07:38.740 --> 01:07:45.940]   Again, I think of this young man, 31 years old. I mean, can you imagine as much as we mourn for him?
[01:07:45.940 --> 01:07:50.420]   He said, "The Lord said, I have a banquet table waiting for you."
[01:07:50.420 --> 01:07:57.220]   Luke 13:29, "And they will come from the east and the west and from north and south and will recline at the
[01:07:57.220 --> 01:08:02.420]   table of the kingdom of God over and over again, saying that when he comes,
[01:08:02.420 --> 01:08:06.740]   there's going to be a banqueting table and he's going to be serving us." Isn't that awesome?
[01:08:06.740 --> 01:08:14.580]   Our savior, our Lord, our creator, everything was created by him and for him. All things are sustained
[01:08:14.580 --> 01:08:19.700]   because of him. He's going to come back and he's going to throw a banquet and he said he's going to feed
[01:08:19.700 --> 01:08:29.860]   us, right? Man, I wonder what that's going to taste like, right? I wonder what that food's going to taste
[01:08:29.860 --> 01:08:38.340]   like. I wonder what that banquet's going to feel like, right? We get so entangled with the things of
[01:08:38.340 --> 01:08:46.180]   this world and then we no longer look for the things that are coming. And we're so short-sighted
[01:08:47.380 --> 01:08:53.700]   and every single thing that we have coveted on this earth is going to look so trivial and trash when
[01:08:53.700 --> 01:08:59.940]   he comes. Think about when you were younger back and when you were teenagers, the things that you
[01:08:59.940 --> 01:09:05.220]   value so much, coveted so much, right? You wanted to be part of a particular friend group, right?
[01:09:05.220 --> 01:09:13.140]   And I remember very specifically one particular generation, your hairstyle was ugly.
[01:09:15.060 --> 01:09:21.060]   And I think this happened to those of you who were in your late 30s, mid 40s, right? It's the Asian guys
[01:09:21.060 --> 01:09:27.140]   in particular. You guys grew out your bangs and it was like, it was so ugly. Do you look back, now that
[01:09:27.140 --> 01:09:32.260]   you're a grown-up, do you look back at that and say, I wish that would come back, right?
[01:09:32.260 --> 01:09:37.620]   I like wearing pants size 46 when my waist was 26, right?
[01:09:39.620 --> 01:09:43.460]   Some of you guys who are younger may not remember that, but you know, some of you guys who are a
[01:09:43.460 --> 01:09:46.740]   little bit older remember that. Do you look back at that and say, oh, I wish that way. I wish when I
[01:09:46.740 --> 01:09:54.420]   go to heaven, I can do that again. So many things that we coveted, so many things meant so much to us
[01:09:54.420 --> 01:09:59.780]   while we were here. When Christ comes in his banquet, it's going to look so trivial.
[01:10:01.540 --> 01:10:11.380]   And yet we forfeit so much, because we want to have that. He said, those who are waiting upon the
[01:10:11.380 --> 01:10:16.100]   Lord, he will come and give us a banquet. And those who are not, he says, they're going to come. Jesus is
[01:10:16.100 --> 01:10:22.820]   coming. He's going to feel like a thief that's coming. 1 Thessalonians 5:2-3, he says,
[01:10:22.820 --> 01:10:28.500]   while, verse 3, while they are saying peace and safety, destruction will come upon them. Suddenly,
[01:10:28.500 --> 01:10:33.460]   like a labor pains upon a woman, like a child, they will not escape. It's going to feel like a thief
[01:10:33.460 --> 01:10:42.020]   coming. If you've ever had your house like a burglar come in, you know how that feels. It's unwanted.
[01:10:42.020 --> 01:10:45.700]   They come to take all the things that you value. They're going to look for it and take it. He said,
[01:10:45.700 --> 01:10:50.420]   that's exactly how it's going to feel for those who have not been engaged and looking eagerly for his
[01:10:50.420 --> 01:10:59.060]   coming. Like a thief. So he finally says, Luke 12:39-40, but be sure of this, that if the head
[01:10:59.060 --> 01:11:03.620]   of the house had known at what hour the thief was coming, he would not have allowed his house to be
[01:11:03.620 --> 01:11:10.340]   broken into. You too be ready for the Son of Man is coming at an hour that you do not expect. So let me
[01:11:10.340 --> 01:11:19.700]   conclude with this. Scripture tells us to redeem every opportunity. I don't know how long this is going to
[01:11:19.700 --> 01:11:25.940]   last where the buzz, whether they hated Charlie Kirk or whether they loved him or not, that people are,
[01:11:25.940 --> 01:11:32.020]   that lines have been drawn so clearly. And this young man made his faith so clear. All you have to do is,
[01:11:32.020 --> 01:11:36.980]   again, I know some of you guys may be bothered by what I'm saying. I want to strongly encourage you.
[01:11:36.980 --> 01:11:42.420]   We're living at a time where the access to the truth has become so easy that deceiving people has become
[01:11:42.420 --> 01:11:49.300]   just as easy. Every information that we hear, we're coming from mediators. And the mediators are
[01:11:49.300 --> 01:11:54.180]   completely biased to the right or to the left. So if you want to find the truth, you have to go to the
[01:11:54.180 --> 01:11:59.140]   original source and read the whole thing or watch the whole thing. Don't read clips. Don't look at
[01:11:59.140 --> 01:12:03.860]   clips and say you've come to the conclusion. If you want to seek the truth, you have to look at the whole
[01:12:03.860 --> 01:12:10.500]   thing unbiased and you come to your own conclusion. But whatever conclusion you come to, I am confident
[01:12:10.500 --> 01:12:16.260]   that you will see that this man died testifying about his faith. And as a result of that, there has
[01:12:16.260 --> 01:12:22.900]   been a stirring, especially among the young people who are ready to discuss about eternity and about the
[01:12:22.900 --> 01:12:32.900]   gospel. If you stay asleep now, if you go to sleep now, if you don't gird up your loins now, when,
[01:12:32.900 --> 01:12:43.940]   when will you wake up? When will you speak? When will you engage? God has prepared the door for us to come.
[01:12:45.540 --> 01:12:52.660]   Will you go? Will you go? Just ask. Just ask people. What do you think about what's going on?
[01:12:52.660 --> 01:12:58.740]   And share the gospel with them. I'm going to ask the praise team to come up. Okay. As they come up,
[01:12:58.740 --> 01:13:05.780]   I have a song from Keith Green. Some of you guys, right? Some of you a little bit older people, right?
[01:13:05.780 --> 01:13:13.460]   God really used Keith Green to really challenge me when I was a young Christian, but I felt like this song
[01:13:13.460 --> 01:13:19.700]   is appropriate. So I want to listen to this song and then we'll close our service for today. At least my
[01:13:19.700 --> 01:13:26.820]   portion of it. So can you have that played?
[01:13:26.820 --> 01:13:56.800]   Thank you.
[01:13:56.800 --> 01:14:24.020]   Do you see? Do you see? All the people sinking down? Don't you care? Don't you care? Are you gonna let them drown? How can you be so numb? Not to care if they come.
[01:14:24.020 --> 01:14:31.020]   You close your eyes and pretend the job's done.
[01:14:31.020 --> 01:14:41.020]   Oh bless me Lord, bless me Lord. You know it's all I ever hear.
[01:14:41.020 --> 01:14:58.020]   No one aches, no one hurts, no one even sheds one tear. But he cries, he weeps, he bleeds and he cares for your needs. And you just lay back and keep soaking it in.
[01:15:00.020 --> 01:15:22.020]   Oh, can't you see it's such a sin? Cause he brings people to your door. And you turn them away. As you smile and say, God bless you. Be at peace. And all heaven just weeps.
[01:15:22.020 --> 01:15:32.020]   Cause Jesus came to your door. You've left him out on the streets.
[01:15:32.020 --> 01:15:55.020]   Open up. Open up. Open up. And give yourself away. You see the need. You hear the cries. So how can you delay? God's calling. And you're the one. But like Johnny, you run.
[01:15:55.020 --> 01:16:07.020]   He's told you to speak. But you keep holding it in. Oh, can't you sin such sin?
[01:16:07.020 --> 01:16:19.020]   The world is sleeping in the dark. That the church just can't fight. Cause it's asleep in the light.
[01:16:19.020 --> 01:16:35.020]   How can you be so dead when you've been so well fed? Jesus rose from the grave. And you, you can't even get out of bed.
[01:16:35.020 --> 01:16:36.020]   Oh, Jesus rose from the dead. Come on, get out of your bed.
[01:16:36.020 --> 01:16:47.020]   Oh, Jesus rose from the dead. Come on, get out of your bed.
[01:16:47.020 --> 01:16:49.020]   Oh, Jesus rose from the dead. Come on, get out of your bed.
[01:16:49.020 --> 01:17:01.020]   Oh, Jesus rose from the dead. Come on, get out of your bed.
[01:17:01.020 --> 01:17:17.020]   Holy Father, we pray that your spirit, through your word, would bring revival in our generation. Bring revival in our church. Bring revival in our homes. Bring revival, Lord God, to the individuals.
[01:17:17.020 --> 01:17:26.020]   Help us, Lord, to know the mission that you've called us to. Knowing, Father, that you have placed us as light in the context of darkness.
[01:17:26.020 --> 01:17:31.020]   Help us, Lord God, to be bold. Help us to be men and women who are convicted for the truth.
[01:17:31.020 --> 01:17:35.020]   That we would not hold on to the good news simply as a security blanket.
[01:17:35.020 --> 01:17:41.020]   Help us, Lord God, to know that you have given us a mission to take the power of the gospel.
[01:17:41.020 --> 01:17:48.020]   That we would not be ashamed of it. Knowing that it is a power of God unto salvation to everyone who believes.
[01:17:48.020 --> 01:17:56.020]   So for that end, I pray that you would call your church and that your Holy Spirit, through your word, would cause us to bear fruit 30, 60, 100 fold.
[01:17:56.020 --> 01:17:58.020]   In Jesus name we pray. Amen.
[01:17:58.020 --> 01:18:00.020]   Let's all stand up for the closing praise.
[01:18:00.020 --> 01:18:01.020]   Let's all stand up for the closing praise.
[01:18:01.020 --> 01:18:02.020]   Let's all stand up for the closing praise.
[01:18:02.020 --> 01:18:03.020]   Let's all stand up for the closing praise.
[01:18:03.020 --> 01:18:04.020]   Let's all stand up for the closing praise.
[01:18:04.020 --> 01:18:05.020]   Let's all stand up for the closing praise.
[01:18:05.020 --> 01:18:06.020]   Let's all stand up for the closing praise.
[01:18:06.020 --> 01:18:07.020]   Let's all stand up for the closing praise.
[01:18:07.020 --> 01:18:08.020]   Let's all stand up for the closing praise.
[01:18:08.020 --> 01:18:09.020]   Let's all stand up for the closing praise.
[01:18:09.020 --> 01:18:10.020]   Let's all stand up for the closing praise.
[01:18:10.020 --> 01:18:11.020]   Let's all stand up for the closing praise.
[01:18:11.020 --> 01:18:12.020]   Let's all stand up for the closing praise.
[01:18:12.020 --> 01:18:13.020]   Let's all stand up for the closing praise.
[01:18:13.020 --> 01:18:14.020]   Let's all stand up for the closing praise.
[01:18:14.020 --> 01:18:15.020]   Let's all stand up for the closing praise.
[01:18:15.020 --> 01:18:16.020]   Let's all stand up for the closing praise.
[01:18:16.020 --> 01:18:17.020]   Let's all stand up for the closing praise.
[01:18:17.020 --> 01:18:19.020]   Let's all stand up for the closing praise.
[01:18:19.020 --> 01:18:20.020]   Let's all stand up for the closing praise.
[01:18:20.020 --> 01:18:21.020]   Let's all stand up for the closing praise.
[01:18:21.020 --> 01:18:22.020]   Let's all stand up for the closing praise.
[01:18:22.020 --> 01:18:23.020]   Let's all stand up for the closing praise.
[01:18:23.020 --> 01:18:25.020]   Let's all stand up for the closing praise.
[01:18:25.020 --> 01:18:26.020]   Let's all stand up for the closing praise.
[01:18:26.020 --> 01:18:27.020]   Let's all stand up for the closing praise.
[01:18:27.020 --> 01:18:28.020]   Let's all stand up for the closing praise.
[01:18:28.020 --> 01:18:29.020]   Let's all stand up for the closing praise.
[01:18:29.020 --> 01:18:30.020]   Let's all stand up for the closing praise.
[01:18:30.020 --> 01:18:31.020]   Let's all stand up for the closing praise.
[01:18:31.020 --> 01:18:32.020]   Let's all stand up for the closing praise.
[01:18:32.020 --> 01:18:33.020]   Let's all stand up for the closing praise.
[01:18:33.020 --> 01:18:34.020]   Let's all stand up for the closing praise.
[01:18:34.020 --> 01:18:35.020]   Let's all stand up for the closing praise.
[01:18:35.020 --> 01:18:36.020]   Let's all stand up for the closing praise.
[01:18:36.020 --> 01:18:37.020]   Let's all stand up for the closing praise.
[01:18:37.020 --> 01:18:38.020]   Let's all stand up for the closing praise.
[01:18:38.020 --> 01:18:43.020]   Let's all stand up for the closing praise.
[01:18:43.020 --> 01:18:44.020]   Let's all stand up for the closing praise.
[01:18:44.020 --> 01:18:46.020]   Let's all stand up for the closing praise.
[01:18:46.020 --> 01:18:47.020]   Let's all stand up for the closing praise.
[01:18:47.020 --> 01:18:48.020]   Let's all stand up for the closing praise.
[01:18:48.020 --> 01:18:49.020]   Let's all stand up for the closing praise.
[01:18:49.020 --> 01:18:50.020]   Let's all stand up for the closing praise.
[01:18:50.020 --> 01:18:51.020]   Let's all stand up for the closing praise.
[01:18:51.020 --> 01:18:52.020]   Let's all stand up for the closing praise.
[01:18:52.020 --> 01:18:53.020]   Let's all stand up for the closing praise.
[01:18:53.020 --> 01:18:54.020]   Let's all stand up for the closing praise.
[01:18:54.020 --> 01:18:56.020]   Let's all stand up for the closing praise.
[01:18:56.020 --> 01:18:58.020]   Let's all stand up for the closing praise.
[01:18:58.020 --> 01:18:59.020]   Let's all stand up for the closing praise.
[01:18:59.020 --> 01:19:01.020]   Let's all stand up for the closing praise.
[01:19:01.020 --> 01:19:02.020]   Let's all stand up for the closing praise.
[01:19:02.020 --> 01:19:03.020]   Let's all stand up for the closing praise.
[01:19:03.020 --> 01:19:04.020]   Let's all stand up for the closing praise.
[01:19:04.020 --> 01:19:05.020]   Let's all stand up for the closing praise.
[01:19:05.020 --> 01:19:06.020]   Let's all stand up for the closing praise.
[01:19:06.020 --> 01:19:07.020]   Let's all stand up for the closing praise.
[01:19:07.020 --> 01:19:08.020]   Let's all stand up for the closing praise.
[01:19:08.020 --> 01:19:09.020]   Let's all stand up for the closing praise.
[01:19:09.020 --> 01:19:10.020]   Let's all stand up for the closing praise.
[01:19:10.020 --> 01:19:11.020]   Let's all stand up for the closing praise.
[01:19:11.020 --> 01:19:12.020]   Let's all stand up for the closing praise.
[01:19:12.020 --> 01:19:13.020]   Let's all stand up for the closing praise.
[01:19:13.020 --> 01:19:14.020]   Let's all stand up for the closing praise.
[01:19:14.020 --> 01:19:15.020]   Let's all stand up for the closing praise.
[01:19:15.020 --> 01:19:16.020]   Let's all stand up for the closing praise.
[01:19:16.020 --> 01:19:17.020]   Let's all stand up for the closing praise.
[01:19:17.020 --> 01:19:18.020]   Let's all stand up for the closing praise.
[01:19:18.020 --> 01:19:19.020]   Let's all stand up for the closing praise.
[01:19:19.020 --> 01:19:20.020]   Let's all stand up for the closing praise.
[01:19:20.020 --> 01:19:21.020]   Let's all stand up for the closing praise.
[01:19:21.020 --> 01:19:22.020]   Let's all stand up for the closing praise.
[01:19:22.020 --> 01:19:23.020]   Let's all stand up for the closing praise.
[01:19:23.020 --> 01:19:24.020]   Let's all stand up for the closing praise.
[01:19:24.020 --> 01:19:25.020]   Let's all stand up for the closing praise.
[01:19:25.020 --> 01:19:26.020]   Let's all stand up for the closing praise.
[01:19:26.020 --> 01:19:27.020]   Let's all stand up for the closing praise.
[01:19:27.020 --> 01:19:28.020]   Let's all stand up for the closing praise.
[01:19:28.020 --> 01:19:33.020]   Let's all stand up for the closing praise.
[01:19:33.020 --> 01:19:34.020]   Let's all stand up for the closing praise.
[01:19:34.020 --> 01:19:35.020]   Let's all stand up for the closing praise.
[01:19:35.020 --> 01:19:36.020]   Let's all stand up for the closing praise.
[01:19:36.020 --> 01:19:37.020]   Let's all stand up for the closing praise.
[01:19:37.020 --> 01:19:38.020]   Let's all stand up for the closing praise.
[01:19:38.020 --> 01:19:39.020]   Let's all stand up for the closing praise.
[01:19:39.020 --> 01:19:40.020]   Let's all stand up for the closing praise.
[01:19:40.020 --> 01:19:41.020]   Let's all stand up for the closing praise.
[01:19:41.020 --> 01:19:42.020]   Let's all stand up for the closing praise.
[01:19:42.020 --> 01:19:43.020]   Let's all stand up for the closing praise.
[01:19:43.020 --> 01:19:44.020]   Let's all stand up for the closing praise.
[01:19:44.020 --> 01:19:45.020]   Let's all stand up for the closing praise.
[01:19:45.020 --> 01:19:46.020]   Let's all stand up for the closing praise.
[01:19:46.020 --> 01:19:47.020]   Let's all stand up for the closing praise.
[01:19:47.020 --> 01:19:48.020]   Let's all stand up for the closing praise.
[01:19:48.020 --> 01:19:49.020]   Let's all stand up for the closing praise.
[01:19:49.020 --> 01:19:50.020]   Let's all stand up for the closing praise.
[01:19:50.020 --> 01:19:52.020]   Let's all stand up for the closing praise.
[01:19:52.020 --> 01:19:53.020]   Let's all stand up for the closing praise.
[01:19:53.020 --> 01:19:54.020]   Let's all stand up for the closing praise.
[01:19:54.020 --> 01:19:55.020]   Let's all stand up for the closing praise.
[01:19:55.020 --> 01:19:56.020]   Let's all stand up for the closing praise.
[01:19:56.020 --> 01:19:57.020]   Let's all stand up for the closing praise.
[01:19:57.020 --> 01:19:58.020]   Let's all stand up for the closing praise.
[01:19:58.020 --> 01:19:59.020]   Let's all stand up for the closing praise.
[01:19:59.020 --> 01:20:00.020]   Let's all stand up for the closing praise.
[01:20:00.020 --> 01:20:01.020]   Let's all stand up for the closing praise.
[01:20:01.020 --> 01:20:02.020]   Let's all stand up for the closing praise.
[01:20:02.020 --> 01:20:03.020]   Let's all stand up for the closing praise.
[01:20:03.020 --> 01:20:04.020]   Let's all stand up for the closing praise.
[01:20:04.020 --> 01:20:05.020]   Let's all stand up for the closing praise.
[01:20:05.020 --> 01:20:06.020]   Let's all stand up for the closing praise.
[01:20:06.020 --> 01:20:07.020]   Let's all stand up for the closing praise.
[01:20:07.020 --> 01:20:08.020]   Let's all stand up for the closing praise.
[01:20:08.020 --> 01:20:09.020]   Let's all stand up for the closing praise.
[01:20:09.020 --> 01:20:10.020]   Let's all stand up for the closing praise.
[01:20:10.020 --> 01:20:11.020]   Let's all stand up for the closing praise.
[01:20:11.020 --> 01:20:12.020]   Let's all stand up for the closing praise.
[01:20:12.020 --> 01:20:13.020]   Let's all stand up for the closing praise.
[01:20:13.020 --> 01:20:14.020]   Let's all stand up for the closing praise.
[01:20:14.020 --> 01:20:15.020]   Let's all stand up for the closing praise.
[01:20:15.020 --> 01:20:15.020]   Let's all stand up for the closing praise.
[01:20:15.020 --> 01:20:16.020]   Let's all stand up for the closing praise.
[01:20:16.020 --> 01:20:17.020]   Let's all stand up for the closing praise.
[01:20:17.020 --> 01:20:18.020]   Let's all stand up for the closing praise.
[01:20:18.020 --> 01:20:19.020]   Let's all stand up for the closing praise.
[01:20:19.020 --> 01:20:20.020]   Let's all stand up for the closing praise.
[01:20:20.020 --> 01:20:21.020]   Let's all stand up for the closing praise.
[01:20:21.020 --> 01:20:22.020]   Let's all stand up for the closing praise.
[01:20:22.020 --> 01:20:23.020]   Let's all stand up for the closing praise.
[01:20:23.020 --> 01:20:24.020]   Let's all stand up for the closing praise.
[01:20:24.020 --> 01:20:25.020]   Let's all stand up for the closing praise.
[01:20:25.020 --> 01:20:26.020]   Let's all stand up for the closing praise.
[01:20:26.020 --> 01:20:39.020]   Let's all stand up for the closing praise.
[01:20:39.020 --> 01:20:40.020]   Let's all stand up for the closing praise.
[01:20:40.020 --> 01:20:41.020]   Let's all stand up for the closing praise.
[01:20:41.020 --> 01:20:42.020]   Let's all stand up for the closing praise.
[01:20:42.020 --> 01:20:43.020]   Let's all stand up for the closing praise.
[01:20:43.020 --> 01:20:44.020]   Let's all stand up for the closing praise.
[01:20:44.020 --> 01:20:45.020]   Let's all stand up for the closing praise.
[01:20:45.020 --> 01:20:46.020]   Let's all stand up for the closing praise.
[01:20:46.020 --> 01:20:47.020]   Let's all stand up for the closing praise.
[01:20:47.020 --> 01:20:48.020]   Let's all stand up for the closing praise.
[01:20:48.020 --> 01:20:49.020]   Let's all stand up for the closing praise.
[01:20:49.020 --> 01:20:50.020]   Let's all stand up for the closing praise.
[01:20:50.020 --> 01:20:51.020]   Let's all stand up for the closing praise.
[01:20:51.020 --> 01:20:52.020]   Let's all stand up for the closing praise.
[01:20:52.020 --> 01:20:53.020]   Let's all stand up for the closing praise.
[01:20:53.020 --> 01:20:54.020]   Let's all stand up for the closing praise.
[01:20:54.020 --> 01:20:55.020]   Let's all stand up for the closing praise.
[01:20:55.020 --> 01:20:56.020]   Let's all stand up for the closing praise.
[01:20:56.020 --> 01:20:57.020]   Let's all stand up for the closing praise.
[01:20:57.020 --> 01:20:58.020]   Let's all stand up for the closing praise.
[01:20:58.020 --> 01:20:59.020]   Let's all stand up for the closing praise.
[01:20:59.020 --> 01:21:00.020]   Let's all stand up for the closing praise.
[01:21:00.020 --> 01:21:01.020]   Let's all stand up for the closing praise.
[01:21:01.020 --> 01:21:02.020]   Let's all stand up for the closing praise.
[01:21:02.020 --> 01:21:03.020]   Let's all stand up for the closing praise.
[01:21:03.020 --> 01:21:04.020]   Let's all stand up for the closing praise.
[01:21:04.020 --> 01:21:05.020]   Let's all stand up for the closing praise.
[01:21:05.020 --> 01:21:06.020]   Let's all stand up for the closing praise.
[01:21:06.020 --> 01:21:07.020]   Let's all stand up for the closing praise.
[01:21:07.020 --> 01:21:08.020]   Let's all stand up for the closing praise.
[01:21:08.020 --> 01:21:09.020]   Let's all stand up for the closing praise.
[01:21:09.020 --> 01:21:10.020]   Let's all stand up for the closing praise.
[01:21:10.020 --> 01:21:11.020]   Let's all stand up for the closing praise.
[01:21:11.020 --> 01:21:12.020]   Let's all stand up for the closing praise.
[01:21:12.020 --> 01:21:13.020]   Let's all stand up for the closing praise.
[01:21:13.020 --> 01:21:15.020]   Let's all stand up for the closing praise.
[01:21:15.020 --> 01:21:16.020]   Let's all stand up for the closing praise.
[01:21:16.020 --> 01:21:17.020]   Let's all stand up for the closing praise.
[01:21:17.020 --> 01:21:18.020]   Let's all stand up for the closing praise.
[01:21:18.020 --> 01:21:19.020]   Let's all stand up for the closing praise.
[01:21:19.020 --> 01:21:20.020]   Let's all stand up for the closing praise.
[01:21:20.020 --> 01:21:21.020]   Let's all stand up for the closing praise.
[01:21:21.020 --> 01:21:22.020]   Let's all stand up for the closing praise.
[01:21:22.020 --> 01:21:23.020]   Let's all stand up for the closing praise.
[01:21:23.020 --> 01:21:24.020]   Let's all stand up for the closing praise.
[01:21:24.020 --> 01:21:25.020]   Let's all stand up for the closing praise.
[01:21:25.020 --> 01:21:26.020]   Let's all stand up for the closing praise.
[01:21:26.020 --> 01:21:27.020]   Let's all stand up for the closing praise.
[01:21:27.020 --> 01:21:28.020]   Let's all stand up for the closing praise.
[01:21:28.020 --> 01:21:29.020]   Let's all stand up for the closing praise.
[01:21:29.020 --> 01:21:30.020]   Let's all stand up for the closing praise.
[01:21:30.020 --> 01:21:31.020]   Let's all stand up for the closing praise.
[01:21:31.020 --> 01:21:32.020]   Let's all stand up for the closing praise.
[01:21:32.020 --> 01:21:33.020]   Let's all stand up for the closing praise.
[01:21:33.020 --> 01:21:34.020]   Let's all stand up for the closing praise.
[01:21:34.020 --> 01:21:35.020]   Let's all stand up for the closing praise.
[01:21:35.020 --> 01:21:36.020]   Let's all stand up for the closing praise.
[01:21:36.020 --> 01:21:37.020]   Let's all stand up for the closing praise.
[01:21:37.020 --> 01:21:39.020]   Let's all stand up for the closing praise.
[01:21:39.020 --> 01:21:40.020]   Let's all stand up for the closing praise.
[01:21:40.020 --> 01:21:41.020]   Let's all stand up for the closing praise.
[01:21:41.020 --> 01:21:42.020]   Let's all stand up for the closing praise.
[01:21:42.020 --> 01:21:43.020]   Let's all stand up for the closing praise.
[01:21:43.020 --> 01:21:44.020]   Let's all stand up for the closing praise.
[01:21:44.020 --> 01:21:45.020]   Let's all stand up for the closing praise.
[01:21:45.020 --> 01:21:46.020]   Let's all stand up for the closing praise.
[01:21:46.020 --> 01:21:47.020]   Let's all stand up for the closing praise.
[01:21:47.020 --> 01:21:48.020]   Let's all stand up for the closing praise.
[01:21:48.020 --> 01:21:49.020]   Let's all stand up for the closing praise.
[01:21:49.020 --> 01:21:50.020]   Let's all stand up for the closing praise.
[01:21:50.020 --> 01:21:51.020]   Let's all stand up for the closing praise.
[01:21:51.020 --> 01:21:52.020]   Let's all stand up for the closing praise.
[01:21:52.020 --> 01:21:53.020]   Let's all stand up for the closing praise.
[01:21:53.020 --> 01:21:54.020]   Let's all stand up for the closing praise.
[01:21:54.020 --> 01:21:56.020]   Let's all stand up for the closing praise.
[01:21:56.020 --> 01:21:57.020]   Let's all stand up for the closing praise.
[01:21:57.020 --> 01:21:58.020]   Let's all stand up for the closing praise.
[01:21:58.020 --> 01:21:59.020]   Let's all stand up for the closing praise.
[01:21:59.020 --> 01:22:00.020]   Let's all stand up for the closing praise.
[01:22:00.020 --> 01:22:01.020]   Let's all stand up for the closing praise.
[01:22:01.020 --> 01:22:02.020]   Let's all stand up for the closing praise.
[01:22:02.020 --> 01:22:03.020]   Let's all stand up for the closing praise.
[01:22:03.020 --> 01:22:05.020]   Let's all stand up for the closing praise.
[01:22:05.020 --> 01:22:06.020]   Let's all stand up for the closing praise.
[01:22:06.020 --> 01:22:07.020]   Let's all stand up for the closing praise.
[01:22:07.020 --> 01:22:08.020]   Let's all stand up for the closing praise.
[01:22:08.020 --> 01:22:09.020]   Let's all stand up for the closing praise.
[01:22:09.020 --> 01:22:10.020]   Let's all stand up for the closing praise.
[01:22:10.020 --> 01:22:11.020]   Let's all stand up for the closing praise.
[01:22:11.020 --> 01:22:12.020]   Let's all stand up for the closing praise.
[01:22:12.020 --> 01:22:13.020]   Let's all stand up for the closing praise.
[01:22:13.020 --> 01:22:14.020]   Let's all stand up for the closing praise.
[01:22:14.020 --> 01:22:15.020]   Let's all stand up for the closing praise.
[01:22:15.020 --> 01:22:16.020]   Let's all stand up for the closing praise.
[01:22:16.020 --> 01:22:19.020]   Let's all stand up for the closing praise.
[01:22:19.020 --> 01:22:20.020]   Let's all stand up for the closing praise.
[01:22:20.020 --> 01:22:21.020]   Let's all stand up for the closing praise.
[01:22:21.020 --> 01:22:22.020]   Let's all stand up for the closing praise.
[01:22:22.020 --> 01:22:23.020]   Let's all stand up for the closing praise.
[01:22:23.020 --> 01:22:24.020]   Let's all stand up for the closing praise.
[01:22:24.020 --> 01:22:25.020]   Let's all stand up for the closing praise.
[01:22:25.020 --> 01:22:26.020]   Let's all stand up for the closing praise.
[01:22:26.020 --> 01:22:27.020]   Let's all stand up for the closing praise.
[01:22:27.020 --> 01:22:28.020]   Let's all stand up for the closing praise.
[01:22:28.020 --> 01:22:29.020]   Let's all stand up for the closing praise.
[01:22:29.020 --> 01:22:30.020]   Let's all stand up for the closing praise.
[01:22:30.020 --> 01:22:31.020]   Let's all stand up for the closing praise.
[01:22:31.020 --> 01:22:32.020]   Let's all stand up for the closing praise.
[01:22:32.020 --> 01:22:33.020]   Let's all stand up for the closing praise.
[01:22:33.020 --> 01:22:34.020]   Let's all stand up for the closing praise.
[01:22:34.020 --> 01:22:35.020]   Let's all stand up for the closing praise.
[01:22:35.020 --> 01:22:36.020]   Let's all stand up for the closing praise.
[01:22:36.020 --> 01:22:39.020]   Let's all stand up for the closing praise.
[01:22:39.020 --> 01:22:41.020]   Let's all stand up for the closing praise.
[01:22:41.020 --> 01:22:42.020]   Let's all stand up for the closing praise.
[01:22:42.020 --> 01:22:43.020]   Let's all stand up for the closing praise.
[01:22:43.020 --> 01:22:44.020]   Let's all stand up for the closing praise.
[01:22:44.020 --> 01:22:45.020]   Let's all stand up for the closing praise.
[01:22:45.020 --> 01:22:46.020]   Let's all stand up for the closing praise.
[01:22:46.020 --> 01:22:47.020]   Let's all stand up for the closing praise.
[01:22:47.020 --> 01:22:48.020]   Let's all stand up for the closing praise.
[01:22:48.020 --> 01:22:49.020]   Let's all stand up for the closing praise.
[01:22:49.020 --> 01:22:50.020]   Let's all stand up for the closing praise.
[01:22:50.020 --> 01:22:51.020]   Let's all stand up for the closing praise.
[01:22:51.020 --> 01:22:52.020]   Let's all stand up for the closing praise.
[01:22:52.020 --> 01:22:53.020]   Let's all stand up for the closing praise.
[01:22:53.020 --> 01:22:54.020]   Let's all stand up for the closing praise.
[01:22:54.020 --> 01:22:55.020]   Let's all stand up for the closing praise.
[01:22:55.020 --> 01:22:56.020]   Let's all stand up for the closing praise.
[01:22:56.020 --> 01:22:57.020]   Let's all stand up for the closing praise.
[01:22:57.020 --> 01:22:58.020]   Let's all stand up for the closing praise.
[01:22:58.020 --> 01:22:59.020]   Let's all stand up for the closing praise.
[01:22:59.020 --> 01:23:00.020]   Let's all stand up for the closing praise.
[01:23:00.020 --> 01:23:01.020]   Let's all stand up for the closing praise.
[01:23:01.020 --> 01:23:02.020]   Let's all stand up for the closing praise.
[01:23:02.020 --> 01:23:03.020]   Let's all stand up for the closing praise.
[01:23:03.020 --> 01:23:04.020]   Let's all stand up for the closing praise.
[01:23:04.020 --> 01:23:05.020]   Let's all stand up for the closing praise.
[01:23:05.020 --> 01:23:06.020]   Let's all stand up for the closing praise.
[01:23:06.020 --> 01:23:07.020]   Let's all stand up for the closing praise.
[01:23:07.020 --> 01:23:08.020]   Let's all stand up for the closing praise.
